case,time,x,y
0.136,0.001,0.0049192602746188,0.144713416695595
0.136,0.001,0.0043509216047823,0.14500992000103
0.136,0.001,0.003764753928408,0.145269393920898
0.136,0.001,0.0031631663441658,0.145490780472755
0.136,0.001,0.002548630349338,0.145673185586929
0.136,0.001,0.0019236711086705,0.145815819501877
0.136,0.001,0.0012908567441627,0.145918130874634
0.136,0.001,0.0006527875666506,0.145979687571526
0.136,0.001,1.20853392218123e-05,0.146000251173973
0.136,0.002,2.46485888055759e-05,0.126002252101898
0.136,0.002,0.000665352505166,0.126022771000862
0.136,0.002,0.0013034244766458,0.126084297895432
0.136,0.002,0.0019362444290891,0.126186579465866
0.136,0.002,0.002561209956184,0.126329183578491
0.136,0.002,0.0031757552642375,0.126511543989182
0.136,0.002,0.0037773533258587,0.126732915639877
0.136,0.002,0.0043635331094265,0.126992359757423
0.136,0.002,0.0049318852834403,0.127288833260536
0.136,0.002,0.005480074789375,0.127621114253998
0.136,0.002,0.0060058478266,0.127987831830978
0.136,0.002,0.0065070451237261,0.128387480974197
0.136,0.002,0.006981604732573,0.128818437457085
0.136,0.002,0.0074275778606534,0.129278898239136
0.136,0.002,0.0078431302681565,0.12976698577404
0.136,0.002,0.0082265548408031,0.130280703306198
0.136,0.002,0.0085762739181518,0.13081793487072
0.136,0.002,0.00889085046947,0.131376475095749
0.136,0.002,0.009168991819024,0.1319540143013
0.136,0.002,0.0094095533713698,0.132548198103905
0.136,0.002,0.0096115469932556,0.133156567811966
0.136,0.002,0.0097741419449448,0.133776634931564
0.136,0.002,0.0098966686055064,0.134405851364136
0.136,0.002,0.0099786249920725,0.135041624307632
0.136,0.002,0.0100196739658713,0.135681331157684
0.136,0.002,0.0100196469575167,0.136322364211082
0.136,0.002,0.0099785448983311,0.136962085962296
0.136,0.002,0.0098965354263782,0.137597844004631
0.136,0.002,0.0097739584743976,0.138227045536041
0.136,0.002,0.0096113178879022,0.138847097754478
0.136,0.002,0.009409281425178,0.13945546746254
0.136,0.002,0.0091686816886067,0.140049621462822
0.136,0.002,0.0088905077427625,0.140627160668373
0.136,0.002,0.0085759032517671,0.14118567109108
0.136,0.002,0.0082261618226766,0.14172288775444
0.136,0.002,0.0078427223488688,0.142236605286598
0.136,0.002,0.0074271582998335,0.142724692821503
0.136,0.002,0.0069811791181564,0.143185153603554
0.136,0.002,0.0065066176466643,0.14361609518528
0.136,0.002,0.0060054226778447,0.14401575922966
0.136,0.002,0.0054796547628939,0.144382476806641
